zHD,m_b_corr,biasCor_m_b,HOST_LOGMASS,IDSURVEY,RA,DEC,zHEL,zCMB
0.00122,9.74571,0.0381,10.677,51,210.774,54.2737,0.00082,0.00122
0.00122,9.80286,-0.0252,10.677,56,210.774,54.2737,0.00082,0.00122
0.00256,11.4703,0.0545,9.633,51,186.803,9.4203,0.00144,0.00256
0.00256,11.4919,0.0622,9.633,56,186.803,9.4203,0.00144,0.00256
0.00299,11.5227,0.065,8.46247,50,188.51,7.7016,0.00187,0.00299
0.00317,11.5416,0.0206,9.686,50,188.623,2.1998,0.00236,0.0035
0.00331,11.2074,0.0298,10.53,56,218.141,-44.2244,0.00411,0.00478
0.00331,11.2998,0.0727,10.53,5,218.141,-44.2244,0.00411,0.00478
0.00331,11.1483,0.0516,10.449,5,218.143,-44.1341,0.00411,0.00478
0.00331,11.2577,0.0216,10.449,18,218.143,-44.1341,0.00411,0.00478
0.00333,12.2481,-0.0773,11.28,50,56.1275,-44.6398,0.00379,0.00357
0.00349,12.5403,-0.0499,10.417,51,178.94,55.3256,0.00313,0.00369
0.00349,12.2437,0.055,10.199,50,179.108,55.1287,0.00313,0.00369
0.00359,12.4439,0.0183,9.802,50,190.736,13.2565,0.00355,0.00462
0.00384,11.7469,0.0574,-9.0,56,56.1257,-44.6325,0.00388,0.00366
0.00407,12.1403,-0.0086,10.375,50,64.4077,-62.7693,0.00435,0.00435
0.00407,12.1249,0.0385,9.552,50,64.4077,-62.7693,0.00435,0.00435
0.00432,12.246,0.0396,9.131,51,334.573,40.5693,0.00394,0.00293
0.00432,12.3081,0.0479,9.131,56,334.573,40.5693,0.00394,0.00293
0.00465,12.6779,0.0348,9.53,56,163.345,16.7764,0.00352,0.00465
0.00465,12.78,0.0858,9.53,5,163.345,16.7764,0.00352,0.00465
0.00482,11.9946,-0.0345,11.314,50,50.7513,-37.2139,0.00495,0.0046
0.00483,11.8801,-0.0671,10.732,56,53.4,-36.1271,0.00492,0.0046
0.00483,12.3995,-0.0405,11.2901,5,54.7125,-35.5753,0.00491,0.0046
0.00483,11.9704,-0.029,10.732,5,53.4,-36.1271,0.00492,0.0046
0.00483,12.087,-0.0201,11.5,50,54.1142,-34.9587,0.00492,0.0046
0.00483,12.5105,-0.0296,11.2901,56,54.7125,-35.5753,0.00491,0.0046
0.00488,12.1943,-0.0595,12.198,56,114.066,-69.5064,0.00476,0.00515
0.00488,12.286,0.0024,12.198,5,114.066,-69.5064,0.00476,0.00515
0.00538,12.3982,-0.0247,11.08,56,133.952,78.2174,0.00452,0.00458
0.00548,12.4752,0.073,9.85343,51,177.758,-28.7441,0.00587,0.00701
0.0057,12.6587,-0.0048,11.036,51,182.028,65.1772,0.00452,0.00489
0.0057,12.6455,-0.0227,11.036,150,182.028,65.1772,0.00452,0.00489
0.00571,12.4269,-0.053,10.682,57,180.47,-18.9728,0.00542,0.0066
0.00571,12.3762,-0.0665,10.682,64,180.47,-18.9728,0.00542,0.0066
0.00587,12.4873,0.0225,7.0,50,180.348,61.8927,0.00462,0.00505
0.00588,12.9292,0.0042,10.196,61,161.758,17.2752,0.00427,0.0054
0.00592,13.2155,0.0345,8.048,56,226.375,1.634,0.00539,0.00603
0.00602,12.6874,-0.0045,10.06,18,121.394,-11.4379,0.0051,0.00596
0.00602,12.8136,0.0355,10.06,51,121.394,-11.4379,0.0051,0.00596
0.00602,12.6572,0.0384,10.06,150,121.394,-11.4379,0.0051,0.00596
0.00616,11.6549,-0.1001,11.314,50,50.6599,-37.2327,0.00587,0.00551
0.00616,11.9327,-0.0546,11.01,50,50.6734,-37.2036,0.00587,0.00551
0.00625,12.8137,-0.0342,10.331,57,215.588,-0.3938,0.00552,0.00635
0.00625,12.7493,-0.0587,10.331,56,215.588,-0.3938,0.00552,0.00635
0.00625,12.8469,-0.015,10.331,5,215.588,-0.3938,0.00552,0.00635
