zHD,mB,x1,c,HOST_LOGMASS,IDSURVEY,RA,DEC,zHD,zHEL,zCMB
0.00122,9.58436,-0.548188,-0.1076,10.677,51,210.774,54.2737,0.00122,0.00082,0.00122
0.00122,9.78448,-0.380481,-0.032895,10.677,56,210.774,54.2737,0.00122,0.00082,0.00122
0.00256,11.8161,0.49196,0.10073,9.633,51,186.803,9.4203,0.00256,0.00144,0.00256
0.00256,11.8801,0.71261,0.12247,9.633,56,186.803,9.4203,0.00256,0.00144,0.00256
0.00299,11.5334,-1.61803,-0.111684,8.46247,50,188.51,7.7016,0.00299,0.00187,0.00299
0.00317,11.6644,-0.445048,-0.005137,9.686,50,188.623,2.1998,0.00317,0.00236,0.0035
0.00331,10.8911,0.51292,-0.104394,10.53,56,218.141,-44.2244,0.00331,0.00411,0.00478
0.00331,10.8438,0.63346,-0.157707,10.53,5,218.141,-44.2244,0.00331,0.00411,0.00478
0.00331,10.7729,0.61655,-0.125638,10.449,5,218.143,-44.1341,0.00331,0.00411,0.00478
0.00331,10.914,0.81895,-0.096025,10.449,18,218.143,-44.1341,0.00331,0.00411,0.00478
0.00333,12.4717,-0.131083,0.074105,11.28,50,56.1275,-44.6398,0.00333,0.00379,0.00357
0.00349,12.627,-0.334036,0.011283,10.417,51,178.94,55.3256,0.00349,0.00313,0.00369
0.00349,12.0503,-0.45159,-0.118814,10.199,50,179.108,55.1287,0.00349,0.00313,0.00369
0.00359,12.4026,0.62892,-0.00619,9.802,50,190.736,13.2565,0.00359,0.00355,0.00462
0.00384,12.0868,-0.042209,0.072389,-9.0,56,56.1257,-44.6325,0.00384,0.00388,0.00366
0.00407,12.0155,-0.103725,-0.059471,10.375,50,64.4077,-62.7693,0.00407,0.00435,0.00435
0.00407,11.9807,-0.01756,-0.076884,9.552,50,64.4077,-62.7693,0.00407,0.00435,0.00435
0.00432,12.4377,0.87178,0.073845,9.131,51,334.573,40.5693,0.00432,0.00394,0.00293
0.00432,12.4484,1.17027,0.068782,9.131,56,334.573,40.5693,0.00432,0.00394,0.00293
0.00465,12.751,-1.27917,-0.06558,9.53,56,163.345,16.7764,0.00465,0.00352,0.00465
0.00465,12.6928,-1.16357,-0.128403,9.53,5,163.345,16.7764,0.00465,0.00352,0.00465
0.00482,12.1471,-1.1428,-0.010995,11.314,50,50.7513,-37.2139,0.00482,0.00495,0.0046
0.00483,11.7919,1.49515,0.047577,10.732,56,53.4,-36.1271,0.00483,0.00492,0.0046
0.00483,12.7485,-2.22068,0.003067,11.2901,5,54.7125,-35.5753,0.00483,0.00491,0.0046
0.00483,11.711,1.1575,-0.036256,10.732,5,53.4,-36.1271,0.00483,0.00492,0.0046
0.00483,12.2736,-1.67481,-0.029989,11.5,50,54.1142,-34.9587,0.00483,0.00492,0.0046
0.00483,12.8139,-2.28189,-0.018119,11.2901,56,54.7125,-35.5753,0.00483,0.00491,0.0046
0.00488,12.4955,-1.16422,0.04414,12.198,56,114.066,-69.5064,0.00488,0.00476,0.00515
0.00488,12.2751,-0.994481,-0.068708,12.198,5,114.066,-69.5064,0.00488,0.00476,0.00515
0.00538,12.4933,-1.02192,-0.026951,11.08,56,133.952,78.2174,0.00538,0.00452,0.00458
0.00548,12.401,-1.12558,-0.118271,9.85343,51,177.758,-28.7441,0.00548,0.00587,0.00701
0.0057,12.7918,-1.69279,-0.05311,11.036,51,182.028,65.1772,0.0057,0.00452,0.00489
0.0057,12.8717,-1.47692,-0.006916,11.036,150,182.028,65.1772,0.0057,0.00452,0.00489
0.00571,12.4637,0.10543,0.017138,10.682,57,180.47,-18.9728,0.00571,0.00542,0.0066
0.00571,12.4987,0.056985,0.046871,10.682,64,180.47,-18.9728,0.00571,0.00542,0.0066
0.00587,12.8324,-1.37417,0.021825,7.0,50,180.348,61.8927,0.00587,0.00462,0.00505
0.00588,12.6957,0.43761,-0.072951,10.196,61,161.758,17.2752,0.00588,0.00427,0.0054
0.00592,13.4632,-2.13402,-0.049813,8.048,56,226.375,1.634,0.00592,0.00539,0.00603
0.00602,12.4685,0.39823,-0.067297,10.06,18,121.394,-11.4379,0.00602,0.0051,0.00596
0.00602,12.4682,0.59016,-0.111964,10.06,51,121.394,-11.4379,0.00602,0.0051,0.00596
0.00602,12.3829,0.12088,-0.112311,10.06,150,121.394,-11.4379,0.00602,0.0051,0.00596
0.00616,12.2753,-1.15194,0.1611,11.314,50,50.6599,-37.2327,0.00616,0.00587,0.00551
0.00616,12.0382,-0.285563,0.021185,11.01,50,50.6734,-37.2036,0.00616,0.00587,0.00551
0.00625,12.8497,-0.533099,-0.019682,10.331,57,215.588,-0.3938,0.00625,0.00552,0.00635
0.00625,12.9062,-0.444525,0.031581,10.331,56,215.588,-0.3938,0.00625,0.00552,0.00635
0.00625,12.8231,-0.558,-0.046439,10.331,5,215.588,-0.3938,0.00625,0.00552,0.00635
0.00625,12.8851,-0.393072,0.014649,10.331,64,215.588,-0.3938,0.00625,0.00552,0.00635
0.0063,13.5777,0.20586,0.20908,9.02452,57,354.702,-6.5226,0.0063,0.00672,0.00552
0.0063,13.5748,0.23463,0.20677,9.02452,5,354.702,-6.5226,0.0063,0.00672,0.00552
0.0063,13.5704,0.27267,0.22565,9.02452,65,354.702,-6.5226,0.0063,0.00672,0.00552
0.00631,14.3994,0.56097,0.22921,7.05776,57,21.5582,-6.1039,0.00631,0.00667,0.00567
0.00634,13.6699,-2.41089,0.057169,10.4962,56,186.129,75.5357,0.00634,0.00533,0.00548
0.00648,13.1265,0.11525,-0.02786,10.63,18,157.342,29.5106,0.00648,0.00452,0.0055
0.00648,13.1161,0.11384,-0.025372,10.63,150,157.342,29.5106,0.00648,0.00452,0.0055
0.00665,13.3299,0.33528,0.23825,8.92838,62,200.177,-22.0367,0.00665,0.00699,0.00801
0.00668,12.1617,-1.89667,-0.056402,7.0,5,54.714,-35.5922,0.00668,0.00625,0.00594
0.00673,13.0285,1.20311,0.036406,10.296,61,147.733,33.5526,0.00673,0.00504,0.00592
0.00676,12.7358,-1.07643,-0.076722,9.77381,61,199.505,-26.8459,0.00676,0.00712,0.00812
