,zlim,qm,qd,S,MLE,QM_errors,QD_errors
14,0.00587,-0.347387938,20.1379062,0.0113910328,-1480.688266875749,"[0.09138345225689631, 0.07540650656980624]","[9.331315892015835, 11.099205798195005]"
13,0.00907,-0.397732693,23.7776019,0.0105962263,-1514.7879523216905,"[0.08570194007587606, 0.0827677104775324]","[11.624331341419978, 4.94640126305908]"
12,0.01351,-0.392166421,15.362867,0.01309,-1503.2406036559637,"[0.07863674857054243, 0.08681844171503666]","[4.8109711612958055, 3.5112553786850995]"
11,0.01613,-0.384855907,10.5224586,0.01595,-1455.376706061244,"[0.09096388758767954, 0.07582875534592304]","[3.2303345037617603, 1.8441208908747253]"
10,0.01826,-0.401556144,7.55233427,0.01925,-1431.0808447556287,"[0.08942873377899391, 0.07880623079547122]","[1.597926651974034, 2.0526066648007353]"
6,0.02121,-0.419270765,5.2209049,0.02253,-1398.9465672587578,"[0.08953601244578585, 0.08138689668911092]","[1.8661201136999148, 1.1833670973138766]"
8,0.02324,-0.397495765,4.72701423,0.02222,-1345.4426369665557,"[0.08820624195802257, 0.08564563255845908]","[1.65948857046742, 1.794099533952389]"
5,0.02531,-0.40923135,3.41787484,0.02643,-1292.352459797029,"[0.08402879198885832, 0.09588715131646286]","[1.2016260565209935, 1.5337737609805058]"
3,0.02873,-0.39914366,3.30989205,0.02802,-1244.179922395962,"[0.0947891687986338, 0.08886168392589344]","[1.505836953145195, 1.1036330645561732]"
9,0.03139,-0.401011744,2.07798291,0.03212,-1196.3510045552646,"[0.10079694917021248, 0.09103798529506973]","[1.2935243407190167, 1.0309976471105466]"
2,0.03486,-0.416350074,-0.0604209186,0.946151585,-1131.3641204987828,"[0.11031127229469784, 0.09440497671715353]","[1.1054359467591106, 1.074332868944718]"
0,0.04146,-0.506420878,-0.260583155,0.04251,-1105.941347186826,"[0.10587011804369795, 0.11243444200588343]","[0.8716793914029746, 1.007613121060941]"
1,0.05057,-0.45072677,0.424581681,0.05165,-1044.9241378785384,"[0.11832853162703721, 0.12207410708744026]","[0.7746941916190976, 0.9076523700821095]"
4,0.06976,-0.416003409,-0.0651394708,0.704004875,-988.108807886733,"[0.14990714476814732, 0.135994002408935]","[0.11598850688338759, 0.0886863819122422]"
7,0.10762,-0.433157861,-0.0448441191,1.0,-932.9822536585376,"[0.16891042453238253, 0.16540363490455823]","[0.07512443660509772, 0.08266509367089214]"
