,zlim,qm,qd,S,MLE,QD_errors,QM_errors
14,0.00587,-0.369850392,-64.7639779,0.00980229346,-1469.4485543020448,"[19.24208465179845, 16.134505237564376]","[0.08395493907223733, 0.08339886563420057]"
12,0.00907,-0.413857384,-37.8509957,0.0126263458,-1499.80751193402,"[17.11827043582163, 12.157965241830592]","[0.08514358174206005, 0.08456278510816628]"
13,0.01351,-0.397157273,-20.5681954,0.0175012876,-1490.609471647554,"[11.043557140639823, 6.967883242408684]","[0.08335462718818093, 0.08275590582319964]"
11,0.01613,-0.380931248,-14.2168667,0.0218712316,-1445.0137215967711,"[8.607158583504678, 5.114012859282255]","[0.08386304807005163, 0.08323174854393772]"
10,0.01826,-0.377684127,-7.74772274,0.0331330982,-1427.7638507181566,"[4.252549411798363, 2.357240762556928]","[0.08413704635319863, 0.08344252207373559]"
6,0.02121,-0.398892769,-7.17992666,0.0344429319,-1393.096455536341,"[4.3437438972751945, 2.256940088117968]","[0.08549873419895948, 0.08481371990608905]"
9,0.02324,-0.384067824,-6.59153282,0.0366938545,-1339.8624072996631,"[4.11345748528987, 2.0744363027487145]","[0.08703345591770284, 0.08635028975165954]"
3,0.02531,-0.405650767,-5.7289536,0.0395467354,-1287.9929518320585,"[3.3625047654683824, 1.8239990250610338]","[0.09007736548778189, 0.089355777023924]"
5,0.02873,-0.400778297,-3.58601734,0.0548959384,-1244.4239062988074,"[1.8635549756721166, 1.2899826093560032]","[0.09341168771171687, 0.09214971457304821]"
8,0.03139,-0.410729785,-2.83470269,0.0653430481,-1197.4206970602377,"[1.752445988105214, 1.2784233882000164]","[0.10203220823462789, 0.09789021336370018]"
0,0.03486,-0.40859193,-3.43165293,0.05662273,-1126.4664475260115,"[2.5237324951985847, 1.661876071513162]","[0.10328611366831714, 0.10179832177681658]"
1,0.04146,-0.488989695,-5.71418912,0.0414389084,-1100.3684325331465,"[1.1353820977961222, 1.7878531751157225]","[0.10871043947521508, 0.10745437369005861]"
7,0.05057,-0.505050703,-0.430734164,0.249369618,-1045.2161890166276,"[0.44772191317948407, 0.25199855132343585]","[0.1224577642696153, 0.1214081425702273]"
4,0.06976,-0.522512269,-0.272032772,0.343510827,-985.6400123551044,"[0.33678178992056007, 0.16497526304143467]","[0.14565613681733158, 0.14434123486770295]"
2,0.10762,-0.573002386,-0.127663877,0.681269785,-935.8050425483276,"[0.15472987164829086, 0.053572270649085735]","[0.17540561241906505, 0.17156793828377104]"
