,zlim,qm,qd,S,MLE,QD_errors,QM_errors
14,0.00587,0.0421102874,92.658363,0.00594,-6.968211958430402,"[13.283215849743684, 10.89384489727577]","[0.08465161853729591, 0.08413865233573456]"
11,0.00907,-0.0372071647,25.4250217,0.01029,-186.38359613505963,"[9.985501876938317, 4.203407166229045]","[0.0832283840767127, 0.08278420714749407]"
13,0.01351,-0.0452254692,13.7522379,0.0138166176,-250.87455995918936,"[6.172491658356965, 4.211530008129529]","[0.0844248602097375, 0.08387666039044772]"
12,0.01613,-0.0752957823,11.4777237,0.01595,-400.08977433552536,"[3.8063223554723633, 2.2102197005873006]","[0.08382445482985829, 0.08333090787830136]"
10,0.01826,-0.0816349815,8.95303683,0.01925,-436.08832653844274,"[2.230462763141631, 1.7952032195346543]","[0.0853231306576764, 0.08481067197281156]"
9,0.02121,-0.16270731,6.53087581,0.02253,-553.2435994690368,"[2.066398323001313, 1.5049935433467079]","[0.08621881194877604, 0.0856933168033241]"
5,0.02324,-0.14309905,6.23345245,0.02222,-598.5872577388063,"[2.41569800811388, 1.669467256193851]","[0.08870096156971383, 0.0881253298522475]"
4,0.02531,-0.14607733,3.84799761,0.02643,-598.5547230631933,"[2.175921693784918, 1.4495866075519217]","[0.09342864505617765, 0.09272927724511715]"
7,0.02873,-0.186342703,3.65522397,0.02802,-610.173647594389,"[1.447458294490478, 5.110513651382042]","[0.09781736856765572, 0.09703286509641142]"
0,0.03139,-0.2163296,3.21866207,0.03212,-621.6706613708243,"[1.7206398371233302, 1.3478396318097805]","[0.10475961681409307, 0.1038676212979835]"
8,0.03486,-0.24211842,2.29552829,0.03577,-613.1388402745438,"[1.5332933448212822, 1.3216939328112107]","[0.1133820139585986, 0.11228242157243615]"
1,0.04146,-0.35690488,0.35413983,0.05354128,-646.5744077607064,"[1.0386575575163906, 1.2011180321231836]","[0.12431252241767887, 0.12281073831321482]"
2,0.05057,-0.34268779,0.29725336,0.05165,-670.4680172527942,"[1.0464123114580024, 1.0371867765311766]","[0.1416561455786643, 0.13982670627423843]"
3,0.06976,-0.03732457,-0.33375629,0.20280321,-651.122137900365,"[0.5876600091205788, 0.26025790624657785]","[0.16332727623689988, 0.1679171175481299]"
6,0.10762,-0.08233094,-0.12990055,0.34966294,-599.4325093092643,"[0.37257825204061, 0.11298415380253626]","[0.19694225457859776, 0.1965595784651007]"
