,zlim,qm,qd,S,MLE,QD_errors,QM_errors
13,0.00587,-0.0951034964,37.9936277,0.00668,-93.2020798826552,"[9.751937576746354, 8.627702362679067]","[0.08365730413830395, 0.08319732345613726]"
14,0.00907,-0.144636239,15.5066632,0.00935,-203.89674256190935,"[10.114572429333911, 5.120505449829851]","[0.08386789181832166, 0.08338297973073025]"
12,0.01351,-0.14811921,2.69147859,0.02405474,-251.6484426402485,"[1.7159006496409086, 5.355613976432392]","[0.08537717113767049, 0.0849253828043274]"
10,0.01613,-0.201227467,3.41874189,0.0218082896,-404.95185970281455,"[1.0717813007482395, 7.021769339099624]","[0.08515692201799185, 0.08468352235645632]"
11,0.01826,-0.206940604,5.04501051,0.01855,-456.8686174636951,"[3.3642715047637486, 1.8768241380421893]","[0.08607025075150529, 0.08554984098540655]"
7,0.02121,-0.2799304,4.07485852,0.02255,-570.1751358983784,"[2.5986457244366834, 1.4851584602997914]","[0.08693750004562595, 0.08641234140803467]"
3,0.02324,-0.26979982,3.7036612,0.02325,-619.7957071682699,"[2.5242139938852395, 1.5372402861822616]","[0.08930342277492126, 0.08873408781172826]"
6,0.02531,-0.26953088,2.35257508,0.02713,-617.3899118691952,"[1.897153263211294, 1.3742852963512164]","[0.09407591866238896, 0.09601778357033083]"
8,0.02873,-0.27705269,1.29496787,0.04170738,-627.0566015482655,"[0.33521500814442573, 3.421164520793928]","[0.09858723508647066, 0.0978583069062876]"
2,0.03139,-0.31031374,1.99749117,0.0329,-633.5654940205322,"[1.59665548925918, 1.2885821145647527]","[0.10548732945089251, 0.10486876360589237]"
0,0.03486,-0.33518876,1.68068286,0.03635,-621.7140774774111,"[1.4263797401886391, 1.2781148386074552]","[0.11435185306562567, 0.11326928449243678]"
9,0.04146,-0.41694615,-0.05771633,0.5312413,-646.7596780723065,"[0.14875710292715347, 0.07225394800673615]","[0.12628395046400542, 0.12481781689680344]"
1,0.05057,-0.3564876,0.09846536,0.05187485,-670.2738407195152,"[1.0506605597939556, 1.0436170941514058]","[0.1419267863240235, 0.1377542883766438]"
4,0.06976,-0.05601357,-0.36137275,0.19374494,-651.1032298354303,"[0.6285265467771166, 0.269409787607684]","[0.16450789484373102, 0.16358756231343508]"
5,0.10762,-0.09797261,-0.13548807,0.3386255,-599.3150351369309,"[0.37980303170244867, 0.11150299471914345]","[0.1978793792399714, 0.19641989957262573]"
