,zlim,qd,QD_errors,qm,QM_errors
0,0.00587,-26.80982885568612,"[13.17606686804384, 9.896988335163794]",0.10126111,"[0.08399603028449544, 0.08348100134636978]"
1,0.00907,-23.92442744106697,"[11.624756728683511, 11.311084368202017]",0.00528010412,"[0.08299443561691146, 0.08239525250066349]"
2,0.01351,-15.491906720428998,"[2.8516912519237447, 4.710462578986958]",-0.0174050946,"[0.08402333444278517, 0.08354674475886775]"
3,0.01613,-8.954274055414881,"[3.0264893373830652, 5.837873027003418]",-0.048516307,"[0.08378498973298559, 0.083237917113648]"
4,0.01826,-0.9446104832856528,"[0.5711312965044922, 0.3965251828699161]",-0.125826804,"[0.09209210302669754, 0.09244217293969999]"
5,0.02121,-0.749183426242523,"[0.5067079717317688, 0.3398997481678705]",-0.20136406,"[0.09180869971148653, 0.09170942867495507]"
6,0.02324,-0.7209108091999885,"[0.5306902678801844, 0.34457093555939644]",-0.18953374,"[0.09404282875902054, 0.0940968794524327]"
7,0.02531,-0.7247718615234808,"[0.6305850912273301, 0.3666014120444332]",-0.20316994,"[0.09887276790860677, 0.09602890221174244]"
8,0.02873,-0.5038598481813258,"[0.44892241695069934, 0.2740035310395971]",-0.24231092,"[0.1012808950812413, 0.10065757070311274]"
9,0.03139,-0.4221975846263893,"[0.3675812185825128, 0.23461751016121707]",-0.26674492,"[0.10705112070711609, 0.10612163603852173]"
10,0.03486,-0.4091470643318027,"[0.37794049919299233, 0.23332474012118395]",-0.28578072,"[0.115194884835646, 0.11409461791078679]"
11,0.04146,-0.4719336822121102,"[0.5462561603532384, 0.27599897986547733]",-0.38550596,"[0.12043876144295035, 0.12748108428514035]"
12,0.05057,-0.384425081027974,"[0.44397709699253324, 0.2425673621592719]",-0.37482779,"[0.1419750757708682, 0.14022411707136753]"
13,0.06976,-0.8055319315361384,"[0.7940871617519574, 0.44548578236464187]",-0.05110922,"[0.16869947709211092, 0.16656434350144989]"
14,0.10762,-0.3037326961752078,"[0.44778453611743696, 0.21350999168034424]",-0.13307918,"[0.20460229725755805, 0.20293756193088264]"
