,zlim,qm,qd,S,MLE,QD_errors,QM_errors
14,0.00587,0.0587478976,-65.981497,0.00954756166,-46.85273073775261,"[14.048498133322525, 12.230021163533507]","[0.08364050589241208, 0.08311489830686945]"
13,0.00907,-0.0403599285,-60.8021739,0.00986152843,-188.67926543219076,"[18.266032185786628, 15.36721499902778]","[0.08318761633119669, 0.08283820930426893]"
10,0.01351,-0.0556756905,-32.668137,0.0135778309,-243.47705385579047,"[3.233025908945372, 4.67005935046592]","[0.08412666118819893, 0.08363837580784661]"
12,0.01613,-0.0835916367,-20.2548722,0.0167574792,-395.4028257290647,"[3.6438315780027857, 7.383512338523332]","[0.08385302444872311, 0.08334913297855562]"
9,0.01826,-0.0572607907,-7.78706765,0.0312487269,-440.42045808310286,"[4.593156841515609, 2.9105316544169115]","[0.0849213128811066, 0.08438795237003917]"
11,0.02121,-0.13507536,-9.08438866,0.02700193,-550.6195760644359,"[4.82645675001708, 3.4584180867675034]","[0.08597835669206264, 0.0854383906046246]"
8,0.02324,-0.12541848,-8.00870401,0.02946703,-595.3877424222328,"[4.070367111299889, 3.402282861408195]","[0.08853844604380687, 0.08794758813131183]"
5,0.02531,-0.13435237,-9.66684761,0.0262319,-593.7229170312412,"[2.393521927018588, 4.4214424290089305]","[0.09334095033122036, 0.09267330197167231]"
0,0.02873,-0.17596421,-6.24079294,0.03321995,-606.1679554816064,"[2.7975894973763538, 4.436554948837235]","[0.0969743500699945, 0.09715996811863725]"
7,0.03139,-0.33066128,-0.90029689,0.16839527,-623.997192820415,"[0.6718754512008155, 0.40836498726714704]","[0.1103177876844138, 0.11105545694986696]"
3,0.03486,-0.3406234,-0.77698934,0.18574386,-616.5875516546571,"[0.58944268174155, 0.361653664043305]","[0.11750375550312142, 0.11701914543496861]"
1,0.04146,-0.33231874,-5.11411782,0.04143891,-641.5621172693736,"[1.3961775095843976, 4.895436275706296]","[0.1235321985187024, 0.12203947723022246]"
4,0.05057,-0.40766723,-0.55260153,0.22791956,-670.4558714531186,"[0.48326439557139955, 0.28601523857709077]","[0.14314585962178578, 0.1414129116474187]"
6,0.06976,-0.09803201,-0.87025811,0.19882135,-651.3296985038469,"[0.7710259876375711, 0.43600024785066827]","[0.1704951060722451, 0.1699525551119227]"
2,0.10762,-0.176183767,-0.366435284,0.345187594,-602.740439590314,"[0.3917305459671619, 0.19343772729685924]","[0.20407322074816536, 0.2010350794934731]"
